id,text,sentiment,category,rating,word_count
R0001,"Terrible experience, asked for a refund.",negative,electronics,1,6
R0002,Genuinely surprised by how good it is.,positive,clothing,4,7
R0003,"Absolutely fantastic, highly recommend.",positive,electronics,4,4
R0004,Customer service was unhelpful.,negative,clothing,1,4
R0005,Five stars without hesitation. Best purchase I've made all year.,positive,electronics,4,10
R0006,"Terrible experience, asked for a refund. Boring and predictable, fell asleep halfway.",negative,book,1,12
R0007,"Absolutely fantastic, highly recommend. The plot was gripping from start to finish.",positive,clothing,5,12
R0008,"A masterpiece, truly memorable.",positive,restaurant,4,4
R0009,Five stars without hesitation. The plot was gripping from start to finish.,positive,movie,4,12
R0010,Best purchase I've made all year.,positive,electronics,4,6
R0011,"Met my expectations, no more no less. Mixed feelings about this.",neutral,book,3,11
R0012,Excellent quality and great value. Best purchase I've made all year.,positive,clothing,4,11
R0013,"Would not recommend to anyone. Boring and predictable, fell asleep halfway. Cheap materials, broke after a week.",negative,book,2,17
R0014,Watchable but forgettable.,neutral,movie,3,3
R0015,The plot was gripping from start to finish.,positive,book,5,8
R0016,"The plot was gripping from start to finish. Excellent quality and great value. A masterpiece, truly memorable.",positive,restaurant,5,17
R0017,Excellent quality and great value.,positive,clothing,5,5
R0018,Amazing acting and direction. The plot was gripping from start to finish. Excellent quality and great value.,positive,clothing,4,17
R0019,Disappointed with the quality.,negative,electronics,1,4
R0020,Overpriced for what you get. Disappointed with the quality.,negative,restaurant,2,9
R0021,"Customer service was unhelpful. Terrible experience, asked for a refund.",negative,movie,1,10
R0022,"Terrible experience, asked for a refund. Awful acting, weak script. Disappointed with the quality.",negative,restaurant,2,14
R0023,Best purchase I've made all year.,positive,clothing,4,6
R0024,"Could be better, could be worse. Average product, does the job.",neutral,electronics,3,11
R0025,Genuinely surprised by how good it is.,positive,clothing,4,7
R0026,"Absolutely fantastic, highly recommend.",positive,book,5,4
R0027,Five stars without hesitation.,positive,movie,4,4
R0028,Customer service was unhelpful.,negative,electronics,1,4
R0029,"Boring and predictable, fell asleep halfway. Terrible experience, asked for a refund. Felt rushed and underdeveloped.",negative,clothing,1,16
R0030,"Would not recommend to anyone. Terrible experience, asked for a refund. Felt rushed and underdeveloped.",negative,restaurant,2,15
R0031,"Decent for the price. Average product, does the job.",neutral,electronics,3,9
R0032,Five stars without hesitation.,positive,clothing,4,4
R0033,Loved every minute of it.,positive,movie,4,5
R0034,"Decent for the price. Could be better, could be worse.",neutral,electronics,3,10
R0035,Excellent quality and great value. Genuinely surprised by how good it is.,positive,clothing,4,12
R0036,"Cheap materials, broke after a week.",negative,electronics,2,6
R0037,Amazing acting and direction. The plot was gripping from start to finish. Five stars without hesitation.,positive,restaurant,5,16
R0038,Decent for the price.,neutral,movie,3,4
R0039,"Absolutely fantastic, highly recommend. Excellent quality and great value.",positive,electronics,4,9
R0040,Felt rushed and underdeveloped.,negative,book,1,4
R0041,"Cheap materials, broke after a week.",negative,movie,1,6
R0042,Complete waste of time and money. Disappointed with the quality. Would not recommend to anyone.,negative,restaurant,1,15
R0043,Felt rushed and underdeveloped.,negative,electronics,1,4
R0044,"Best purchase I've made all year. A masterpiece, truly memorable.",positive,restaurant,5,10
R0045,"Customer service was unhelpful. Cheap materials, broke after a week. Boring and predictable, fell asleep halfway.",negative,book,1,16
R0046,Five stars without hesitation.,positive,book,4,4
R0047,"A masterpiece, truly memorable. Genuinely surprised by how good it is. Worth every penny, would buy again.",positive,clothing,4,17
R0048,"Absolutely fantastic, highly recommend.",positive,electronics,4,4
R0049,"Excellent quality and great value. Loved every minute of it. Absolutely fantastic, highly recommend.",positive,clothing,5,14
R0050,"Terrible experience, asked for a refund. Would not recommend to anyone.",negative,electronics,2,11
R0051,Best purchase I've made all year.,positive,book,5,6
R0052,"It was okay, nothing special.",neutral,restaurant,3,5
R0053,Disappointed with the quality. Overpriced for what you get. Would not recommend to anyone.,negative,electronics,2,14
R0054,"Average product, does the job.",neutral,book,3,5
R0055,Genuinely surprised by how good it is. Best purchase I've made all year.,positive,clothing,4,13
R0056,"Absolutely fantastic, highly recommend. Worth every penny, would buy again. Best purchase I've made all year.",positive,movie,4,16
R0057,"Terrible experience, asked for a refund.",negative,clothing,2,6
R0058,Excellent quality and great value. Best purchase I've made all year.,positive,book,5,11
R0059,Decent for the price.,neutral,restaurant,3,4
R0060,"It was okay, nothing special.",neutral,book,3,5
R0061,"Terrible experience, asked for a refund. Boring and predictable, fell asleep halfway. Cheap materials, broke after a week.",negative,clothing,2,18
R0062,"Worth every penny, would buy again.",positive,book,4,6
R0063,Felt rushed and underdeveloped.,negative,movie,1,4
R0064,The plot was gripping from start to finish.,positive,electronics,4,8
R0065,Customer service was unhelpful. Felt rushed and underdeveloped.,negative,electronics,1,8
R0066,Acceptable quality.,neutral,movie,3,2
R0067,Amazing acting and direction. Excellent quality and great value.,positive,electronics,5,9
R0068,Felt rushed and underdeveloped.,negative,restaurant,1,4
R0069,The plot was gripping from start to finish. Best purchase I've made all year.,positive,electronics,4,14
R0070,Amazing acting and direction.,positive,book,5,4
R0071,"Watchable but forgettable. Could be better, could be worse.",neutral,restaurant,3,9
R0072,"Awful acting, weak script. Complete waste of time and money. Disappointed with the quality.",negative,electronics,2,14
R0073,Complete waste of time and money. Disappointed with the quality.,negative,book,2,10
R0074,Felt rushed and underdeveloped. Customer service was unhelpful.,negative,restaurant,1,8
R0075,"Met my expectations, no more no less.",neutral,movie,3,7
R0076,Customer service was unhelpful.,negative,book,1,4
R0077,"The plot was gripping from start to finish. Five stars without hesitation. Absolutely fantastic, highly recommend.",positive,clothing,5,16
R0078,The plot was gripping from start to finish. Amazing acting and direction.,positive,clothing,5,12
R0079,"Amazing acting and direction. Worth every penny, would buy again.",positive,restaurant,5,10
R0080,"Terrible experience, asked for a refund.",negative,electronics,2,6
R0081,"Five stars without hesitation. The plot was gripping from start to finish. A masterpiece, truly memorable.",positive,restaurant,5,16
R0082,"Cheap materials, broke after a week. Boring and predictable, fell asleep halfway. Disappointed with the quality.",negative,clothing,2,16
R0083,"Awful acting, weak script. Disappointed with the quality. Would not recommend to anyone.",negative,electronics,2,13
R0084,"It was okay, nothing special.",neutral,movie,3,5
R0085,"Five stars without hesitation. Absolutely fantastic, highly recommend.",positive,restaurant,5,8
R0086,Acceptable quality.,neutral,restaurant,3,2
R0087,Loved every minute of it.,positive,restaurant,4,5
R0088,"Genuinely surprised by how good it is. A masterpiece, truly memorable. Loved every minute of it.",positive,movie,4,16
R0089,Customer service was unhelpful. Overpriced for what you get.,negative,restaurant,2,9
R0090,"Customer service was unhelpful. Felt rushed and underdeveloped. Cheap materials, broke after a week.",negative,restaurant,1,14
R0091,"Terrible experience, asked for a refund.",negative,electronics,2,6
R0092,Best purchase I've made all year.,positive,book,4,6
R0093,"Absolutely fantastic, highly recommend. Worth every penny, would buy again. Genuinely surprised by how good it is.",positive,restaurant,4,17
R0094,Would not recommend to anyone. Disappointed with the quality. Felt rushed and underdeveloped.,negative,book,2,13
R0095,Complete waste of time and money. Would not recommend to anyone.,negative,restaurant,2,11
R0096,Functional but uninspired.,neutral,restaurant,3,3
R0097,"Terrible experience, asked for a refund. Felt rushed and underdeveloped.",negative,clothing,2,10
R0098,"Overpriced for what you get. Would not recommend to anyone. Cheap materials, broke after a week.",negative,book,1,16
