id,text,language,sentiment,hashtags,mentions,has_url,length
T0001,"Ürün açıklamadakine benzemiyor, iade ediyorum",tr,0,,,0,45
T0002,Just finished an amazing book! Could not put it down. #reading,en,1,#reading,,0,62
T0003,"Trafik sinir bozucu, saatlerdir bekliyorum...",tr,0,,,0,45
T0004,"Best coffee in town, hands down :) @cafename",en,1,,@cafename,0,44
T0005,"Çok beğendim, herkese öneririm.",tr,1,,,0,31
T0006,Just finished an amazing book! Could not put it down. #reading,en,1,#reading,,0,62
T0007,"Ürün açıklamadakine benzemiyor, iade ediyorum",tr,0,,,0,45
T0008,"Customer service was outstanding, very impressed.",en,1,,,0,49
T0009,"Trafik sinir bozucu, saatlerdir bekliyorum...",tr,0,,,0,45
T0010,Just finished an amazing book! Could not put it down. #reading,en,1,#reading,,0,62
T0011,"Konser muhteşemdi, gece bitsin istemedim! @sanatcı",tr,1,,@sanatcı,0,50
T0012,"Stuck in traffic for 2 hours, this is unbearable :(",en,0,,,0,51
T0013,"Mukemmel bir akşam yemegi, sef'in elleri dert görmesin :)",tr,1,,,0,57
T0014,"Customer service was outstanding, very impressed.",en,1,,,0,49
T0015,"Yeni telefonum süper, kamera muthis #teknoloji",tr,1,#teknoloji,,0,46
T0016,"Customer service was outstanding, very impressed.",en,1,,,0,49
T0017,"Slow internet again, third time this week",en,0,,,0,41
T0018,"Bu film harikaydı, kesinlikle tavsiye ederim! #harika",tr,1,#harika,,0,53
T0019,"Beautiful sunset tonight, perfect end to the day",en,1,,,0,48
T0020,"Ürün açıklamadakine benzemiyor, iade ediyorum",tr,0,,,0,45
T0021,"Not worth the hype, returning it tomorrow.",en,0,,,0,42
T0022,"Stuck in traffic for 2 hours, this is unbearable :(",en,0,,,0,51
T0023,Beklediğimden çok daha kötü çıktı.,tr,0,,,0,34
T0024,"Mukemmel bir akşam yemegi, sef'in elleri dert görmesin :)",tr,1,,,0,57
T0025,"Konser muhteşemdi, gece bitsin istemedim! @sanatcı",tr,1,,@sanatcı,0,50
T0026,"Çok beğendim, herkese öneririm.",tr,1,,,0,31
T0027,"Customer service was outstanding, very impressed.",en,1,,,0,49
T0028,"Hayal kırıklığı yaratan bir gün, hiç keyif almadım :(",tr,0,,,0,53
T0029,"Konser muhteşemdi, gece bitsin istemedim! @sanatcı",tr,1,,@sanatcı,0,50
T0030,"Not worth the hype, returning it tomorrow.",en,0,,,0,42
T0031,"Yeni telefonum süper, kamera muthis #teknoloji",tr,1,#teknoloji,,0,46
T0032,"Çok beğendim, herkese öneririm.",tr,1,,,0,31
T0033,"Customer service was outstanding, very impressed.",en,1,,,0,49
T0034,"Servis berbat, bir daha asla gelmeyeceğim #kötüservis",tr,0,#kötüservis,,0,53
T0035,Just finished an amazing book! Could not put it down. #reading,en,1,#reading,,0,62
T0036,"Yeni telefonum süper, kamera muthis #teknoloji",tr,1,#teknoloji,,0,46
T0037,"Mukemmel bir akşam yemegi, sef'in elleri dert görmesin :)",tr,1,,,0,57
T0038,"Not worth the hype, returning it tomorrow.",en,0,,,0,42
T0039,"Package arrived damaged, contacting support #fail",en,0,#fail,,0,49
T0040,Beklediğimden çok daha kötü çıktı.,tr,0,,,0,34
T0041,"Loved the new album, every track is fire! #music",en,1,#music,,0,48
T0042,"Mukemmel bir akşam yemegi, sef'in elleri dert görmesin :)",tr,1,,,0,57
T0043,"Çok beğendim, herkese öneririm.",tr,1,,,0,31
T0044,"Not worth the hype, returning it tomorrow.",en,0,,,0,42
T0045,"Hayal kırıklığı yaratan bir gün, hiç keyif almadım :(",tr,0,,,0,53
T0046,"Çok beğendim, herkese öneririm.",tr,1,,,0,31
T0047,"Not worth the hype, returning it tomorrow.",en,0,,,0,42
T0048,"Worst movie I have seen this year, total waste",en,0,,,0,46
T0049,"Not worth the hype, returning it tomorrow.",en,0,,,0,42
T0050,"Package arrived damaged, contacting support #fail",en,0,#fail,,0,49
T0051,"Beautiful sunset tonight, perfect end to the day",en,1,,,0,48
T0052,Just finished an amazing book! Could not put it down. #reading,en,1,#reading,,0,62
T0053,"Konser muhteşemdi, gece bitsin istemedim! @sanatcı",tr,1,,@sanatcı,0,50
T0054,"Customer service was outstanding, very impressed.",en,1,,,0,49
T0055,"Yeni telefonum süper, kamera muthis #teknoloji",tr,1,#teknoloji,,0,46
T0056,"Stuck in traffic for 2 hours, this is unbearable :(",en,0,,,0,51
T0057,Just finished an amazing book! Could not put it down. #reading,en,1,#reading,,0,62
T0058,Just finished an amazing book! Could not put it down. #reading,en,1,#reading,,0,62
T0059,"Best coffee in town, hands down :) @cafename",en,1,,@cafename,0,44
T0060,"Konser muhteşemdi, gece bitsin istemedim! @sanatcı",tr,1,,@sanatcı,0,50
T0061,"Best coffee in town, hands down :) @cafename",en,1,,@cafename,0,44
T0062,"Package arrived damaged, contacting support #fail",en,0,#fail,,0,49
T0063,"Trafik sinir bozucu, saatlerdir bekliyorum...",tr,0,,,0,45
T0064,"Loved the new album, every track is fire! #music",en,1,#music,,0,48
T0065,"Beautiful sunset tonight, perfect end to the day",en,1,,,0,48
T0066,"Stuck in traffic for 2 hours, this is unbearable :(",en,0,,,0,51
T0067,"Loved the new album, every track is fire! #music",en,1,#music,,0,48
T0068,"Slow internet again, third time this week",en,0,,,0,41
T0069,Just finished an amazing book! Could not put it down. #reading,en,1,#reading,,0,62
T0070,"Loved the new album, every track is fire! #music",en,1,#music,,0,48
T0071,"Package arrived damaged, contacting support #fail",en,0,#fail,,0,49
T0072,"Çok beğendim, herkese öneririm.",tr,1,,,0,31
T0073,"Yeni telefonum süper, kamera muthis #teknoloji",tr,1,#teknoloji,,0,46
T0074,"Konser muhteşemdi, gece bitsin istemedim! @sanatcı",tr,1,,@sanatcı,0,50
T0075,"Not worth the hype, returning it tomorrow.",en,0,,,0,42
T0076,"Bu film harikaydı, kesinlikle tavsiye ederim! #harika",tr,1,#harika,,0,53
T0077,"Loved the new album, every track is fire! #music",en,1,#music,,0,48
